"Parent ID","Parent Description","BOM Code","BOM Qty","Parent UOM","Component ID","Component Description","Comp Qty per BOM Qty","Comp UOM","Comp Yield","Eff Date","Obs Date"
"1039DB-TEST","DUAL DRY BATH- SET UP TEST -","1","1","EA","0035200000","PC-100-101 W/LG CTN","1.0000","EA","99.0000","01/01/2006","12/31/2099"
"1039DB-TEST","DUAL DRY BATH- SET UP TEST -","1","1","EA","1091492","Print Ribbon Intermec TMX3202","0.0000","FOT","100.0000","04/09/2020","12/31/2099"
"1039DB-TEST","DUAL DRY BATH- SET UP TEST -","1","1","EA","9279520000","CABLE TIE 4""","2.0000","EA","99.0000","01/01/2006","12/31/2099"
"1039DB-TEST","DUAL DRY BATH- SET UP TEST -","1","1","EA","9290900000","UNIT ID LABEL(BLANK) WHITE","8.0000","EA","99.0000","01/01/1900","12/31/2099"
"1039DB-TEST","DUAL DRY BATH- SET UP TEST -","1","1","EA","9292020001","Common Parts (PCBA, display, c","1.0000","EA","99.0000","01/01/1900","12/31/2099"
"1039DB-TEST","DUAL DRY BATH- SET UP TEST -","1","1","EA","9292020002","Common parts: Stickers, front","1.0000","EA","99.0000","01/01/1900","12/31/2099"
"1039DB-TEST","DUAL DRY BATH- SET UP TEST -","1","1","EA","9292020003","Common parts: Rubber feet, gla","1.0000","EA","99.0000","01/01/1900","12/31/2099"
"1039DB-TEST","DUAL DRY BATH- SET UP TEST -","1","1","EA","9292020005","Specific parts for Dual Bath","1.0000","EA","99.0000","01/01/1900","12/31/2099"
"1039DB-TEST","DUAL DRY BATH- SET UP TEST -","1","1","EA","9296050000","LABNET DIGITAL UNIT INST MANUA","1.0000","EA","99.0000","01/01/1900","12/31/2099"
"1039DB-TEST","DUAL DRY BATH- SET UP TEST -","1","1","EA","E09603","Blank label 4x3","1.0000","EA","99.0000","01/01/1900","12/31/2099"
"1039SB-TEST","SINGLE DRY BATH- SET UP TEST -","1","1","EA","0035200000","PC-100-101 W/LG CTN","1.0000","EA","99.0000","01/01/2006","12/31/2099"
"1039SB-TEST","SINGLE DRY BATH- SET UP TEST -","1","1","EA","1091492","Print Ribbon Intermec TMX3202","0.0000","FOT","100.0000","04/09/2020","12/31/2099"
"1039SB-TEST","SINGLE DRY BATH- SET UP TEST -","1","1","EA","523204","Print Ribbon","0.0000","FOT","100.0000","04/09/2020","12/31/2099"
"1039SB-TEST","SINGLE DRY BATH- SET UP TEST -","1","1","EA","9279520000","CABLE TIE 4""","2.0000","EA","99.0000","01/01/2006","12/31/2099"
"1039SB-TEST","SINGLE DRY BATH- SET UP TEST -","1","1","EA","9290900000","UNIT ID LABEL(BLANK) WHITE","4.0000","EA","99.0000","01/01/1900","12/31/2099"
"1039SB-TEST","SINGLE DRY BATH- SET UP TEST -","1","1","EA","9292020001","Common Parts (PCBA, display, c","1.0000","EA","99.0000","01/01/1900","12/31/2099"
"1039SB-TEST","SINGLE DRY BATH- SET UP TEST -","1","1","EA","9292020002","Common parts: Stickers, front","1.0000","EA","99.0000","01/01/1900","12/31/2099"
"1039SB-TEST","SINGLE DRY BATH- SET UP TEST -","1","1","EA","9292020003","Common parts: Rubber feet, gla","1.0000","EA","99.0000","01/01/1900","12/31/2099"
